iter	Passed	Remaining
414	2525	3559
415	2529	3551
416	2535	3544
417	2539	3536
418	2544	3528
419	2549	3520
420	2554	3513
421	2559	3505
422	2564	3498
423	2570	3491
424	2575	3484
425	2580	3476
426	2585	3469
427	2590	3461
428	2595	3454
429	2600	3447
430	2605	3439
431	2610	3431
432	2615	3424
433	2620	3417
434	2625	3409
435	2630	3402
436	2635	3395
437	2640	3387
438	2645	3381
439	2650	3373
440	2655	3366
441	2661	3359
442	2665	3351
443	2670	3343
444	2675	3337
445	2680	3330
446	2685	3322
447	2690	3315
448	2695	3308
449	2700	3300
450	2706	3295
451	2712	3288
452	2717	3281
453	2722	3274
454	2728	3268
455	2734	3261
456	2739	3254
457	2744	3248
458	2750	3241
459	2755	3234
460	2760	3227
461	2765	3220
462	2770	3213
463	2775	3206
464	2780	3199
465	2785	3191
466	2790	3184
467	2795	3177
468	2800	3170
469	2805	3163
470	2811	3157
471	2815	3149
472	2820	3142
473	2825	3135
474	2831	3129
475	2836	3122
476	2841	3115
477	2847	3109
478	2851	3101
479	2857	3095
480	2862	3088
481	2866	3080
482	2872	3074
483	2877	3067
484	2882	3060
485	2887	3053
486	2892	3046
487	2897	3039
488	2902	3033
489	2908	3026
490	2913	3020
491	2919	3013
492	2924	3007
493	2929	3000
494	2935	2994
495	2940	2988
496	2945	2981
497	2950	2974
498	2956	2968
499	2961	2961
500	2966	2954
501	2971	2947
502	2976	2940
503	2981	2934
504	2986	2927
505	2991	2920
506	2996	2913
507	3001	2906
508	3006	2900
509	3012	2894
510	3017	2887
511	3022	2880
512	3028	2874
513	3033	2868
514	3038	2861
515	3043	2854
516	3048	2847
517	3053	2841
518	3058	2834
519	3063	2827
520	3068	2821
521	3075	2816
522	3089	2817
523	3101	2817
524	3113	2817
525	3123	2814
526	3133	2812
527	3141	2808
528	3147	2802
529	3152	2795
530	3158	2789
531	3163	2782
532	3168	2775
533	3173	2769
534	3178	2762
535	3183	2756
536	3189	2750
537	3195	2743
538	3200	2737
539	3205	2730
540	3210	2723
541	3215	2716
542	3220	2710
543	3225	2703
544	3230	2697
545	3235	2690
546	3241	2684
547	3246	2677
548	3251	2671
549	3256	2664
550	3261	2658
551	3267	2651
552	3272	2644
553	3276	2637
554	3281	2631
555	3286	2624
556	3292	2618
557	3297	2611
558	3302	2605
559	3307	2598
560	3312	2592
561	3317	2585
562	3322	2579
563	3327	2572
564	3332	2565
565	3337	2559
566	3343	2552
567	3347	2546
568	3352	2539
569	3358	2533
570	3362	2526
571	3367	2520
572	3373	2513
573	3377	2507
574	3382	2500
575	3388	2494
576	3394	2488
577	3399	2482
578	3404	2475
579	3410	2469
580	3415	2463
581	3421	2457
582	3425	2450
583	3430	2443
584	3435	2437
585	3440	2430
586	3445	2424
587	3450	2417
588	3455	2411
589	3460	2404
590	3466	2399
591	3471	2392
592	3476	2386
593	3481	2379
594	3486	2373
595	3491	2366
596	3497	2360
597	3502	2354
598	3507	2348
599	3512	2341
600	3518	2335
601	3523	2329
602	3528	2322
603	3533	2316
604	3538	2310
605	3543	2304
606	3549	2297
607	3554	2291
608	3559	2285
609	3564	2278
610	3569	2272
611	3574	2266
612	3579	2259
613	3584	2253
614	3589	2247
615	3594	2240
616	3599	2234
617	3605	2228
618	3609	2221
619	3615	2215
620	3620	2209
621	3625	2203
622	3630	2196
623	3635	2190
624	3640	2184
625	3645	2177
626	3650	2171
627	3655	2165
628	3660	2159
629	3665	2152
630	3670	2146
631	3676	2140
632	3681	2134
633	3686	2127
634	3691	2121
635	3695	2115
636	3700	2109
637	3705	2102
638	3711	2096
639	3716	2090
640	3721	2084
641	3726	2077
642	3731	2071
643	3736	2065
644	3741	2059
645	3745	2052
646	3750	2046
647	3756	2040
648	3761	2034
649	3766	2028
650	3771	2021
651	3776	2015
652	3781	2009
653	3786	2003
654	3792	1997
655	3797	1991
656	3802	1985
657	3807	1979
658	3812	1972
659	3817	1966
660	3823	1960
661	3828	1954
662	3833	1948
663	3838	1942
664	3843	1936
665	3849	1930
666	3854	1924
667	3859	1918
668	3864	1912
669	3869	1905
670	3874	1899
671	3878	1893
672	3883	1887
673	3888	1880
674	3893	1874
675	3899	1868
676	3904	1862
677	3910	1857
678	3916	1851
679	3921	1845
680	3926	1839
681	3931	1833
682	3936	1827
683	3942	1821
684	3948	1815
685	3953	1809
686	3958	1803
687	3964	1797
688	3969	1791
689	3974	1785
690	3978	1779
691	3984	1773
692	3989	1767
693	3994	1761
694	3999	1755
695	4004	1748
696	4009	1742
697	4014	1736
698	4019	1730
699	4024	1724
700	4029	1718
701	4034	1712
702	4039	1706
703	4044	1700
704	4050	1694
705	4055	1688
706	4060	1682
707	4065	1676
708	4070	1670
709	4076	1664
710	4081	1658
711	4086	1652
712	4091	1646
713	4096	1640
714	4101	1634
715	4106	1628
716	4111	1622
717	4117	1617
718	4122	1611
719	4127	1604
720	4132	1599
721	4137	1593
722	4142	1587
723	4147	1581
724	4152	1575
725	4157	1569
726	4162	1563
727	4168	1557
728	4173	1551
729	4178	1545
730	4183	1539
731	4188	1533
732	4193	1527
733	4198	1521
734	4203	1515
735	4208	1509
736	4213	1503
737	4219	1497
738	4223	1491
739	4228	1485
740	4235	1480
741	4240	1474
742	4245	1468
743	4250	1462
744	4256	1456
745	4261	1450
746	4266	1444
747	4271	1438
748	4276	1433
749	4281	1427
750	4286	1421
751	4291	1415
752	4296	1409
753	4301	1403
754	4306	1397
755	4311	1391
756	4316	1385
757	4321	1379
758	4326	1373
759	4331	1367
760	4336	1361
761	4342	1356
762	4347	1350
763	4352	1344
764	4357	1338
765	4363	1332
766	4369	1327
767	4373	1321
768	4378	1315
769	4384	1309
