iter	RMSE
0	119.1730314
1	111.7500792
2	105.3381395
3	99.25665208
4	93.52579686
5	88.26461981
6	83.29094302
7	78.70519001
8	74.51153963
9	70.63258779
10	67.17573896
11	64.09785862
12	61.20733426
13	58.62467081
14	56.37142259
15	54.28043748
16	52.33503339
17	50.65097094
18	49.12815501
19	47.75116715
20	46.56011074
21	45.43581542
22	44.41533615
23	43.56816
24	42.76115049
25	42.06677838
26	41.45686395
27	40.88933217
28	40.38523051
29	39.96609199
30	39.60279709
31	39.27211798
32	38.98670743
33	38.6892556
34	38.48040516
35	38.27885873
36	38.09957463
37	37.91078229
38	37.76594479
39	37.59122944
40	37.45864026
41	37.2853483
42	37.17005268
43	37.06955821
44	36.98453292
45	36.89672021
46	36.81789039
47	36.74821593
48	36.67535599
49	36.61965079
50	36.53588678
51	36.45197284
52	36.38865031
53	36.32361533
54	36.27900405
55	36.24235925
56	36.19027671
57	36.14738787
58	36.11379831
59	36.0788627
60	36.04580043
61	36.00944185
62	35.95522666
63	35.93779403
64	35.90340069
65	35.86856021
66	35.82908238
67	35.78220255
68	35.74657991
69	35.70033412
70	35.62178626
71	35.5688979
72	35.52103339
73	35.49396141
74	35.47192987
75	35.45414145
76	35.41807256
77	35.40506303
78	35.38852345
79	35.36383861
80	35.33526869
81	35.30431286
82	35.26160745
83	35.2357335
84	35.20838123
85	35.1764526
86	35.1486021
87	35.12034752
88	35.08701269
89	35.04767425
90	34.98679134
91	34.95027992
92	34.90909405
93	34.89317432
94	34.86297782
95	34.83642813
96	34.79524541
97	34.77602413
98	34.69549051
99	34.66505453
100	34.63441757
101	34.60315219
102	34.58457904
103	34.5516188
104	34.52194512
105	34.49468531
106	34.46625563
107	34.44225251
108	34.40062111
109	34.35584861
110	34.34113972
111	34.32270519
112	34.31010882
113	34.28633085
114	34.26148796
115	34.21741316
116	34.18877817
117	34.15434185
118	34.14093793
119	34.11063873
120	34.1013655
121	34.05080388
122	34.01409703
123	33.99614165
124	33.9751898
125	33.95302811
126	33.91479012
127	33.89404552
128	33.86925903
129	33.81780264
130	33.80679292
131	33.78291168
132	33.74424945
133	33.70847176
134	33.67716652
135	33.65869584
136	33.63531122
137	33.59560497
138	33.57445131
139	33.56043246
140	33.54808807
141	33.51018982
142	33.48142098
143	33.45376201
144	33.41863081
145	33.40290504
146	33.37178686
147	33.34463134
148	33.31481863
149	33.29634667
150	33.27827258
151	33.2392638
152	33.22580985
153	33.20424462
154	33.17677649
155	33.15522409
156	33.12665477
157	33.11950795
158	33.09005452
159	33.07538249
160	33.05716443
161	33.02130492
162	33.00629201
163	32.97122295
164	32.94057097
165	32.92104462
166	32.90707961
167	32.87942397
168	32.86449513
169	32.83780476
170	32.81114724
171	32.7914781
172	32.75991469
173	32.73992781
174	32.71691729
175	32.68826786
176	32.67842613
177	32.6473603
178	32.61584545
179	32.57765384
180	32.55638101
181	32.54678515
182	32.53068477
183	32.49522421
184	32.4565906
185	32.43492432
186	32.42130172
187	32.38530524
188	32.34737985
189	32.31856902
190	32.30112768
191	32.28089581
192	32.24886647
193	32.22977535
194	32.20442408
195	32.17356737
196	32.14739792
197	32.11505266
198	32.1049109
199	32.08008439
200	32.05741411
201	32.03666793
202	32.023726
203	31.99442168
204	31.99187664
205	31.97243926
206	31.95499665
207	31.9401463
208	31.92307291
209	31.9056365
210	31.89220275
211	31.88268266
212	31.8581566
213	31.84380732
214	31.81571229
215	31.786927
216	31.77879115
217	31.76010949
218	31.73897661
219	31.72186375
220	31.69492727
221	31.68313368
222	31.65364828
223	31.63640954
224	31.61561847
225	31.58321863
226	31.56170453
227	31.54665448
228	31.51657342
229	31.4951609
230	31.47778771
231	31.45516134
232	31.42545439
233	31.41263299
234	31.38782984
235	31.36239001
236	31.36220826
237	31.34947162
238	31.32709847
239	31.29924902
240	31.27742197
241	31.25820621
242	31.24485856
243	31.23182766
244	31.2005067
245	31.17136573
246	31.15446744
247	31.14067384
248	31.11518381
249	31.09876637
250	31.07409359
251	31.04979448
252	31.03843298
253	31.01723561
254	31.00541814
255	30.97351938
256	30.93847037
257	30.90465084
258	30.87283721
259	30.8634783
260	30.85014387
261	30.83311596
262	30.80448544
263	30.77661686
264	30.76662365
265	30.74747152
266	30.71746292
267	30.69657056
268	30.67050488
269	30.64428019
270	30.61460929
271	30.58603916
272	30.57745134
273	30.56503419
274	30.54985442
275	30.52842408
276	30.51323056
277	30.50289304
278	30.48436393
279	30.4581035
280	30.4489407
281	30.42037979
282	30.4073481
283	30.37755218
284	30.35101561
285	30.33049164
286	30.29895573
287	30.27765831
288	30.25357366
289	30.23971953
290	30.22751663
291	30.2048074
292	30.18748813
293	30.16564546
294	30.15439261
295	30.13878934
296	30.11655934
297	30.09900614
298	30.07159196
299	30.05116532
300	30.03797102
301	30.02266729
302	30.0036403
303	29.99594798
304	29.97574657
305	29.94894384
306	29.93616603
307	29.8994053
308	29.87791275
309	29.84594331
310	29.83327501
311	29.80587547
312	29.7811474
313	29.76503931
314	29.74525452
315	29.72938669
316	29.71175303
317	29.7021706
318	29.67899879
319	29.65726894
320	29.64150308
321	29.62924451
322	29.62059499
323	29.61135257
324	29.59074364
325	29.58385593
326	29.55861872
327	29.54237065
328	29.53319433
329	29.51829094
330	29.48999299
331	29.47168261
332	29.46000865
333	29.44893751
334	29.42628763
335	29.41459248
336	29.39531353
337	29.37263094
338	29.35595228
339	29.34300485
340	29.31764283
341	29.29801539
342	29.28627287
343	29.26494993
344	29.25187088
345	29.22446341
346	29.21551448
347	29.1971432
348	29.18780168
349	29.17103328
350	29.15353969
351	29.1389926
352	29.12871527
353	29.11609605
354	29.10756629
355	29.09213431
356	29.08382064
357	29.06140937
358	29.05189574
359	29.03765038
360	29.02439332
361	29.01838797
362	29.00367158
363	28.99474255
364	28.98177341
365	28.95548668
366	28.94434563
367	28.91876912
368	28.90676063
369	28.88561263
370	28.86784614
371	28.8498008
372	28.83850353
373	28.82681814
374	28.81558657
375	28.79674171
376	28.78022883
377	28.76980392
378	28.76049288
379	28.75071884
380	28.73177046
381	28.718049
382	28.69904362
383	28.68469919
384	28.67047523
385	28.65689607
386	28.64182101
387	28.62968057
388	28.62054961
389	28.60968582
390	28.59148761
391	28.58495583
392	28.56751792
393	28.54521809
394	28.52896281
395	28.51609765
396	28.50493109
397	28.49771057
398	28.48919771
399	28.48248597
400	28.46736284
401	28.45540495
402	28.4468391
403	28.42248427
404	28.4197499
405	28.40165008
406	28.38925248
407	28.37409955
408	28.35917647
409	28.34850179
410	28.3440559
411	28.33039506
412	28.31925686
413	28.30292604
414	28.29076768
415	28.27523251
416	28.26404932
417	28.25948596
418	28.2541374
419	28.23509497
420	28.21456398
421	28.20393985
422	28.18634503
423	28.17124029
424	28.15455826
425	28.14745348
426	28.1290556
427	28.11817892
428	28.09854775
429	28.09172482
430	28.07950376
431	28.0642487
432	28.04622485
433	28.03585127
434	28.02486843
435	28.01484482
436	28.005421
437	28.00152344
438	27.98491391
439	27.97143467
440	27.96151077
441	27.94896806
442	27.94589289
443	27.94018081
444	27.9249651
445	27.89942041
446	27.89197193
447	27.87833676
448	27.85873415
449	27.8511689
450	27.82570851
451	27.81256395
452	27.79548003
453	27.77388147
454	27.75829091
455	27.74644891
456	27.73842095
457	27.71865688
458	27.70449144
459	27.6872705
460	27.66790326
461	27.65254702
462	27.64152998
463	27.63039054
464	27.61859714
465	27.61322356
466	27.60465423
467	27.59312276
468	27.57557237
469	27.56739458
470	27.54987134
471	27.54338161
472	27.53698385
473	27.51690605
474	27.50358401
475	27.48820897
476	27.47228832
477	27.45846393
478	27.44752755
479	27.4374836
480	27.42311148
481	27.41139243
482	27.39238479
483	27.37999175
484	27.37970187
485	27.36344508
486	27.35011491
487	27.34796007
488	27.33068471
489	27.31077335
490	27.29936309
491	27.28453634
492	27.27566196
493	27.26098443
494	27.24775259
495	27.23618923
496	27.21796079
497	27.21430772
498	27.19504595
499	27.19144699
500	27.1764671
501	27.15809116
502	27.14422129
503	27.12476799
504	27.11348682
505	27.10699795
506	27.09625422
507	27.08597112
508	27.0759211
509	27.06017072
510	27.05120296
511	27.04147336
512	27.03186664
513	27.02275774
514	27.01326135
515	27.00209139
516	26.99547602
517	26.98862609
518	26.98019162
519	26.96625727
520	26.95548989
521	26.94589425
522	26.9369522
523	26.9234698
524	26.9053052
525	26.90006239
526	26.89163849
527	26.88211473
528	26.86614139
529	26.86158358
530	26.84771093
531	26.84661488
532	26.83568498
533	26.82181494
534	26.81039696
535	26.80370809
536	26.78705542
537	26.77091142
538	26.75413849
